id,name,description,neighborhood_overview,host_id,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,review_scores_rating_missing,review_scores_accuracy_missing,review_scores_cleanliness_missing,review_scores_checkin_missing,review_scores_communication_missing,review_scores_location_missing,review_scores_value_missing
71609,Ensuite Room (Room 1 & 2) near EXPO,For 3 rooms.Book room 1&2 and room 4,Unknown,367042,Belinda,2011-01-29,Singapore,"Hi My name is Belinda -Housekeeper 

I would like to welcome you to my ""Homestay Website"" 


Accomodation for: 

- an extended stay for studies, min 3 months
- business,
- training in singapore
 

Room rental are available for min 3month or longer .Room rental depending on the choice of a common sharing room (family suite) ,a standard room,a deluxe room or a triplet room which varies in sizes. We hope to give you a warm home feeling here with sweet dreams. Please forgive us if we cannot meet your  high expectations.We will try our best to make your stay as comfortable as a homestay.

Regards
Belinda",within a few hours,1.0,1.0,f,https://a0.muscache.com/im/users/367042/profile_pic/1382521511/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/367042/profile_pic/1382521511/original.jpg?aki_policy=profile_x_medium,Tampines,5,10,"['email', 'phone']",t,t,Unknown,Tampines,East Region,1.34537,103.95887,Private room in villa,Private room,2,1.0,1 private bath,2.0,1.0,"[""Outdoor kitchen"", ""Refrigerator"", ""Fire pit"", ""Hair dryer"", ""Cooking basics"", ""Private entrance"", ""Free parking on premises"", ""Private backyard \u2013 Fully fenced"", ""Wifi"", ""Dryer"", ""Luggage dropoff allowed"", ""Keypad"", ""Free street parking"", ""Air conditioning"", ""Iron"", ""Children\u2019s books and toys"", ""Washer"", ""Fire extinguisher"", ""Hangers"", ""Long term stays allowed"", ""BBQ grill"", ""TV"", ""Hot water"", ""Smoke alarm"", ""Essentials"", ""Dedicated workspace"", ""Shared hot tub"", ""Outdoor furniture"", ""Self check-in"", ""Kitchen"", ""Shampoo"", ""Outdoor dining area""]",95.0,92,365,92.0,92.0,1125.0,1125.0,92.0,1125.0,t,30,60,90,90,19,0,0,90,0,0,0.0,2011-12-19,2020-01-17,4.44,4.37,4.0,4.63,4.78,4.26,4.32,Unknown,f,5,0,5,0,0.11,0,0,0,0,0,0,0
71896,B&B  Room 1 near Airport & EXPO,Unknown,Unknown,367042,Belinda,2011-01-29,Singapore,"Hi My name is Belinda -Housekeeper 

I would like to welcome you to my ""Homestay Website"" 


Accomodation for: 

- an extended stay for studies, min 3 months
- business,
- training in singapore
 

Room rental are available for min 3month or longer .Room rental depending on the choice of a common sharing room (family suite) ,a standard room,a deluxe room or a triplet room which varies in sizes. We hope to give you a warm home feeling here with sweet dreams. Please forgive us if we cannot meet your  high expectations.We will try our best to make your stay as comfortable as a homestay.

Regards
Belinda",within a few hours,1.0,1.0,f,https://a0.muscache.com/im/users/367042/profile_pic/1382521511/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/367042/profile_pic/1382521511/original.jpg?aki_policy=profile_x_medium,Tampines,5,10,"['email', 'phone']",t,t,Unknown,Tampines,East Region,1.34754,103.95958,Private room in home,Private room,1,1.0,Shared half-bath,1.0,1.0,"[""Outdoor kitchen"", ""Dishes and silverware"", ""Refrigerator"", ""Fire pit"", ""Hair dryer"", ""Cooking basics"", ""Private entrance"", ""Free parking on premises"", ""Lock on bedroom door"", ""Private backyard \u2013 Fully fenced"", ""Wifi"", ""Dryer"", ""Keypad"", ""AC - split type ductless system"", ""Free street parking"", ""Coffee maker"", ""Iron"", ""Shower gel"", ""Drying rack for clothing"", ""Washer"", ""Hangers"", ""BBQ grill"", ""Extra pillows and blankets"", ""TV"", ""Paid parking on premises"", ""Hot water"", ""Bed linens"", ""Smoke alarm"", ""Cleaning products"", ""Essentials"", ""Dedicated workspace"", ""Shared hot tub"", ""Outdoor furniture"", ""Self check-in"", ""Kitchen"", ""Shampoo"", ""Outdoor dining area""]",104.0,92,365,92.0,92.0,1125.0,1125.0,92.0,1125.0,t,30,60,90,90,24,0,0,90,0,0,0.0,2011-07-30,2019-10-13,4.16,4.22,4.09,4.43,4.43,4.17,4.04,Unknown,f,5,0,5,0,0.14,0,0,0,0,0,0,0
71903,Room 2-near Airport & EXPO,"Like your own home, 24hrs access.",Quiet and view of the playground with exercise tracks with access to neighbourhood Simwi Estate.,367042,Belinda,2011-01-29,Singapore,"Hi My name is Belinda -Housekeeper 

I would like to welcome you to my ""Homestay Website"" 


Accomodation for: 

- an extended stay for studies, min 3 months
- business,
- training in singapore
 

Room rental are available for min 3month or longer .Room rental depending on the choice of a common sharing room (family suite) ,a standard room,a deluxe room or a triplet room which varies in sizes. We hope to give you a warm home feeling here with sweet dreams. Please forgive us if we cannot meet your  high expectations.We will try our best to make your stay as comfortable as a homestay.

Regards
Belinda",within a few hours,1.0,1.0,f,https://a0.muscache.com/im/users/367042/profile_pic/1382521511/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/367042/profile_pic/1382521511/original.jpg?aki_policy=profile_x_medium,Tampines,5,10,"['email', 'phone']",t,t,"Singapore, Singapore",Tampines,East Region,1.34531,103.961,Private room in home,Private room,2,1.0,Shared half-bath,1.0,2.0,"[""Outdoor kitchen"", ""Fire pit"", ""Hair dryer"", ""Cooking basics"", ""Free parking on premises"", ""Lock on bedroom door"", ""Wifi"", ""Dryer"", ""Keypad"", ""AC - split type ductless system"", ""Free street parking"", ""Coffee maker"", ""Washer"", ""Heating"", ""BBQ grill"", ""TV"", ""Hot water"", ""Smoke alarm"", ""Essentials"", ""Shared hot tub"", ""Outdoor furniture"", ""Self check-in"", ""Kitchen"", ""Shampoo"", ""Outdoor dining area""]",76.0,92,365,92.0,92.0,1125.0,1125.0,92.0,1125.0,t,30,60,90,90,46,0,0,90,0,0,0.0,2011-05-04,2020-01-09,4.41,4.39,4.52,4.63,4.64,4.5,4.36,Unknown,f,5,0,5,0,0.26,0,0,0,0,0,0,0
275343,10min walk to MRT & a Cozy Room with window! (1),"**IMPORTANT NOTES:  READ BEFORE YOU BOOK! <br />==Since this is an HDB Flat tourists are NOT ALLOWED unless having a VALID PASS like IPA Letter or TEP.<br /><br />Cozy, comfortable, well-renovated & fitted. Great guests, and a great environment!<br /><br />This is a shared apartment with several other flatmates.<br />We have 2 Common bathrooms and 2 toilets (separate) <br />10 min walk to Redhill MRT or take a bus direct from the bus terminal downstairs direct to Tiong Bahru MRT<br />Near Queensway, Alexandra, NUS, NUH.",Unknown,1439258,Kay,2011-11-24,Singapore,"K2 Guesthouse is designed for guests who want a truly local experience with local people. Experience eating local food in a local home away from home! 

We love meeting new people, exchanging cultures, food, language and most of all spending some time in the evening after work to relax with a glass of wine or a can of beer when the weather becomes unbearable!

Read my reviews and when you get here, ask for the guest book, you will get to know heaps of great friends across the globe! 

Also - Finally being an Airbnb host since 2011, we obtained our Hotel License to legally operate in Singapore for short term stays!

We would like to take this opportunity to appreciate all our faithful long term guests who have stayed and support us during all these years.  Please come back to experience our the new K2 Guesthouse at South Buona Vista. 

We'd love to have you with us :) 

K2 guesthouse 
Kay 
",within an hour,1.0,0.99,f,https://a0.muscache.com/im/pictures/user/7245b0a9-27fa-4759-9fb3-59ae8299e8a3.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/7245b0a9-27fa-4759-9fb3-59ae8299e8a3.jpg?aki_policy=profile_x_medium,Bukit Merah,50,88,"['email', 'phone']",t,t,Unknown,Bukit Merah,Central Region,1.29015,103.80814,Private room in rental unit,Private room,1,2.0,2 shared baths,1.0,1.0,"[""Paid dryer \u2013 In building"", ""Dishes and silverware"", ""Refrigerator"", ""Cooking basics"", ""Lock on bedroom door"", ""Wifi"", ""Clothing storage"", ""Luggage dropoff allowed"", ""Keypad"", ""Air conditioning"", ""Elevator"", ""Iron"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Hangers"", ""Long term stays allowed"", ""Bidet"", ""TV"", ""Paid washer \u2013 In building"", ""Hot water"", ""Bed linens"", ""Stove"", ""Smoke alarm"", ""Cleaning products"", ""Dedicated workspace"", ""Self check-in"", ""Kitchen"", ""Hot water kettle""]",95.0,180,999,180.0,180.0,1125.0,1125.0,180.0,1125.0,t,0,0,0,0,20,0,0,0,0,0,0.0,2013-04-20,2022-08-13,4.4,4.16,4.26,4.47,4.42,4.53,4.63,S0399,t,49,0,49,0,0.13,0,0,0,0,0,0,0
275344,15 mins to Outram MRT Single Room (2),Lovely home for the special guest !,Bus stop <br />Food center <br />Supermarket,1439258,Kay,2011-11-24,Singapore,"K2 Guesthouse is designed for guests who want a truly local experience with local people. Experience eating local food in a local home away from home! 

We love meeting new people, exchanging cultures, food, language and most of all spending some time in the evening after work to relax with a glass of wine or a can of beer when the weather becomes unbearable!

Read my reviews and when you get here, ask for the guest book, you will get to know heaps of great friends across the globe! 

Also - Finally being an Airbnb host since 2011, we obtained our Hotel License to legally operate in Singapore for short term stays!

We would like to take this opportunity to appreciate all our faithful long term guests who have stayed and support us during all these years.  Please come back to experience our the new K2 Guesthouse at South Buona Vista. 

We'd love to have you with us :) 

K2 guesthouse 
Kay 
",within an hour,1.0,0.99,f,https://a0.muscache.com/im/pictures/user/7245b0a9-27fa-4759-9fb3-59ae8299e8a3.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/7245b0a9-27fa-4759-9fb3-59ae8299e8a3.jpg?aki_policy=profile_x_medium,Bukit Merah,50,88,"['email', 'phone']",t,t,"Singapore, Singapore",Bukit Merah,Central Region,1.28836,103.81144,Private room in rental unit,Private room,1,2.5,2.5 shared baths,1.0,1.0,"[""Paid dryer \u2013 In building"", ""Dishes and silverware"", ""Refrigerator"", ""Cooking basics"", ""Lock on bedroom door"", ""Wifi"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Elevator"", ""Iron"", ""Carbon monoxide alarm"", ""Drying rack for clothing"", ""Fire extinguisher"", ""Hangers"", ""Long term stays allowed"", ""Bidet"", ""TV"", ""Smart lock"", ""Paid washer \u2013 In building"", ""Hot water"", ""Microwave"", ""Bed linens"", ""Clothing storage: closet and dresser"", ""Stove"", ""Smoke alarm"", ""Cleaning products"", ""Dedicated workspace"", ""Self check-in"", ""Kitchen"", ""Hot water kettle""]",95.0,180,999,180.0,180.0,1125.0,1125.0,180.0,1125.0,t,0,0,0,0,16,0,0,0,0,0,0.0,2012-04-26,2023-08-16,4.27,4.44,4.06,4.5,4.5,4.63,4.13,S0399,t,49,0,49,0,0.1,0,0,0,0,0,0,0
294281,5 mins walk from Newton subway,I have 3 bedrooms  in a charming British style townhouse for you and your family while you are visiting Singapore . This is the GREEN ROOM .<br />https://www.airbnb.co.uk/rooms/294281 <br /> Be sure to look at the other 2 rooms .<br /><br />BURGUNDY ROOM(https://www.airbnb.co.uk/rooms/369141   )<br />BLUE ROOM (https://www.airbnb.co.uk/rooms/369145),Unknown,1521514,Betty,2011-12-20,Singapore,"Hello !
I am Elizabeth from Singapore.

Looking forward to hosting you in our lovely little sunny island. ",within a few hours,1.0,1.0,f,https://a0.muscache.com/im/users/1521514/profile_pic/1324398791/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1521514/profile_pic/1324398791/original.jpg?aki_policy=profile_x_medium,Central Area,7,8,"['email', 'phone']",t,t,Unknown,Newton,Central Region,1.31142,103.83924,Private room in rental unit,Private room,2,1.0,1 shared bath,2.0,1.0,"[""Oven"", ""Private patio or balcony"", ""Dishes and silverware"", ""Refrigerator"", ""Hair dryer"", ""Cooking basics"", ""Park view"", ""Wifi"", ""Free street parking"", ""Air conditioning"", ""Iron"", ""Washer"", ""Hangers"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Hot water"", ""Microwave"", ""Bed linens"", ""Stove"", ""Smoke alarm"", ""Essentials"", ""Kitchen"", ""Shampoo""]",85.0,92,1125,92.0,92.0,1125.0,1125.0,92.0,1125.0,t,30,60,90,365,131,0,0,95,0,0,0.0,2012-01-28,2020-01-21,4.43,4.33,4.16,4.5,4.66,4.52,4.39,Unknown,f,7,1,6,0,0.79,0,0,0,0,0,0,0
324945,Comfortable Room w/study area @ Redhill  MRT! (6),"**IMPORTANT NOTES:  READ BEFORE YOU BOOK! <br />==Since this is an HDB Flat tourists are NOT ALLOWED unless having a VALID PASS like IPA Letter or TEP.<br /><br />Cozy, comfortable, well-renovated & fitted. Great guests, great environment, and great host!<br /><br />This is a shared apartment with several other flatmates.<br />We have 2 Common bathrooms and 2 toilets (separate) <br /><br />10 min walk to Redhill MRT or take a bus direct from the bus terminal downstairs direct to Tiong Bahru MRT<br /><br />Near Queensway, Alexandra, NUS, NUH.",Unknown,1439258,Kay,2011-11-24,Singapore,"K2 Guesthouse is designed for guests who want a truly local experience with local people. Experience eating local food in a local home away from home! 

We love meeting new people, exchanging cultures, food, language and most of all spending some time in the evening after work to relax with a glass of wine or a can of beer when the weather becomes unbearable!

Read my reviews and when you get here, ask for the guest book, you will get to know heaps of great friends across the globe! 

Also - Finally being an Airbnb host since 2011, we obtained our Hotel License to legally operate in Singapore for short term stays!

We would like to take this opportunity to appreciate all our faithful long term guests who have stayed and support us during all these years.  Please come back to experience our the new K2 Guesthouse at South Buona Vista. 

We'd love to have you with us :) 

K2 guesthouse 
Kay 
",within an hour,1.0,0.99,f,https://a0.muscache.com/im/pictures/user/7245b0a9-27fa-4759-9fb3-59ae8299e8a3.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/7245b0a9-27fa-4759-9fb3-59ae8299e8a3.jpg?aki_policy=profile_x_medium,Bukit Merah,50,88,"['email', 'phone']",t,t,Unknown,Bukit Merah,Central Region,1.28828,103.8102,Private room in rental unit,Private room,1,2.0,2 shared baths,1.0,1.0,"[""Paid dryer \u2013 In building"", ""Dishes and silverware"", ""Refrigerator"", ""Cooking basics"", ""Lock on bedroom door"", ""Wifi"", ""Clothing storage"", ""Air conditioning"", ""Iron"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Bidet"", ""TV"", ""Smart lock"", ""Paid washer \u2013 In building"", ""Hot water"", ""Bed linens"", ""Smoke alarm"", ""Dedicated workspace"", ""Self check-in"", ""Kitchen""]",95.0,180,999,180.0,180.0,1125.0,1125.0,180.0,1125.0,t,0,0,0,0,17,0,0,0,0,0,0.0,2012-07-08,2023-09-01,3.5,3.47,3.94,4.53,4.06,3.82,3.76,S0399,f,49,0,49,0,0.11,0,0,0,0,0,0,0
330095,Relaxing Mini Room near Redhill MRT-NOwindow  (4),"**IMPORTANT NOTES:  READ BEFORE YOU BOOK! <br />==Since this is an HDB Flat tourists are NOT ALLOWED unless having a VALID PASS like IPA Letter or TEP.<br /><br />Cozy, comfortable, Orange no window room, well-renovated & fitted. Great guests, and a great environment!<br /><br />This is a shared apartment with several other flatmates.<br />We have 2 Common bathrooms and 2 toilets (separate). <br /><br />10 min walk to Redhill MRT or take a bus direct from the bus terminal downstairs direct to Tiong Bahru MRT Near Queensway, NUS, NUH.","Near IKEA Alexandra Singapore, Food markets and convenience stores",1439258,Kay,2011-11-24,Singapore,"K2 Guesthouse is designed for guests who want a truly local experience with local people. Experience eating local food in a local home away from home! 

We love meeting new people, exchanging cultures, food, language and most of all spending some time in the evening after work to relax with a glass of wine or a can of beer when the weather becomes unbearable!

Read my reviews and when you get here, ask for the guest book, you will get to know heaps of great friends across the globe! 

Also - Finally being an Airbnb host since 2011, we obtained our Hotel License to legally operate in Singapore for short term stays!

We would like to take this opportunity to appreciate all our faithful long term guests who have stayed and support us during all these years.  Please come back to experience our the new K2 Guesthouse at South Buona Vista. 

We'd love to have you with us :) 

K2 guesthouse 
Kay 
",within an hour,1.0,0.99,f,https://a0.muscache.com/im/pictures/user/7245b0a9-27fa-4759-9fb3-59ae8299e8a3.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/7245b0a9-27fa-4759-9fb3-59ae8299e8a3.jpg?aki_policy=profile_x_medium,Bukit Merah,50,88,"['email', 'phone']",t,t,"Singapore, Singapore",Bukit Merah,Central Region,1.28636,103.81138,Private room in rental unit,Private room,1,2.0,2 shared baths,1.0,1.0,"[""Paid dryer \u2013 In building"", ""Dishes and silverware"", ""Freezer"", ""Refrigerator"", ""Cooking basics"", ""Lock on bedroom door"", ""Wifi"", ""Clothing storage"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Elevator"", ""Iron"", ""Carbon monoxide alarm"", ""Drying rack for clothing"", ""Fire extinguisher"", ""Hangers"", ""Long term stays allowed"", ""Bidet"", ""TV"", ""Smart lock"", ""Paid washer \u2013 In building"", ""Hot water"", ""Bed linens"", ""Smoke alarm"", ""Dedicated workspace"", ""Induction stove"", ""Self check-in"", ""Kitchen"", ""Hot water kettle"", ""Shampoo""]",95.0,180,365,180.0,180.0,1125.0,1125.0,180.0,1125.0,t,0,0,0,0,5,0,0,0,0,0,0.0,2014-06-01,2023-09-02,3.8,3.8,4.0,4.2,4.8,3.8,4.0,S0399,t,49,0,49,0,0.04,0,0,0,0,0,0,0
344803,Budget short stay room near  EXPO,"Direct bus 24 from airport to this place.Walking distance to expo,downtown line3 and east west line(green line)",A very quiet place .Very near to airport and cannot hear airplane sound,367042,Belinda,2011-01-29,Singapore,"Hi My name is Belinda -Housekeeper 

I would like to welcome you to my ""Homestay Website"" 


Accomodation for: 

- an extended stay for studies, min 3 months
- business,
- training in singapore
 

Room rental are available for min 3month or longer .Room rental depending on the choice of a common sharing room (family suite) ,a standard room,a deluxe room or a triplet room which varies in sizes. We hope to give you a warm home feeling here with sweet dreams. Please forgive us if we cannot meet your  high expectations.We will try our best to make your stay as comfortable as a homestay.

Regards
Belinda",within a few hours,1.0,1.0,f,https://a0.muscache.com/im/users/367042/profile_pic/1382521511/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/367042/profile_pic/1382521511/original.jpg?aki_policy=profile_x_medium,Tampines,5,10,"['email', 'phone']",t,t,"Singapore, Singapore",Tampines,East Region,1.34917,103.9609,Private room in home,Private room,1,1.5,1.5 shared baths,1.0,1.0,"[""Tecno gas stove"", ""Oven"", ""Outdoor kitchen"", ""Dishes and silverware"", ""Refrigerator"", ""Fire pit"", ""Hair dryer"", ""Cooking basics"", ""Free parking on premises"", ""Lock on bedroom door"", ""Private backyard \u2013 Fully fenced"", ""Wifi"", ""Outdoor shower"", ""Dryer"", ""Garden view"", ""Keypad"", ""AC - split type ductless system"", ""Free street parking"", ""Coffee maker"", ""Iron"", ""Children\u2019s books and toys"", ""Shower gel"", ""Drying rack for clothing"", ""Free washer \u2013 In unit"", ""Hangers"", ""Bidet"", ""Body soap"", ""Extra pillows and blankets"", ""TV"", ""BBQ grill"", ""Hot water"", ""Microwave"", ""Bed linens"", ""Paid parking off premises"", ""High chair"", ""Bathtub"", ""Cleaning products"", ""Essentials"", ""Dedicated workspace"", ""Outdoor furniture"", ""Self check-in"", ""Kitchen"", ""Room-darkening shades"", ""Shampoo"", ""Outdoor dining area""]",41.0,92,365,92.0,92.0,1125.0,1125.0,92.0,1125.0,t,0,0,11,286,60,0,0,16,0,0,0.0,2012-03-13,2023-08-01,4.6,4.59,4.46,4.76,4.58,4.66,4.44,Unknown,t,5,0,5,0,0.36,0,0,0,0,0,0,0
369141,5mins from Newton Train Station,A room in a charming British style townhouse for you and your family while you are visiting Singapore .,"DO YOU WANT A CHARMING AIRBNB HOMESTAY WITH A TRULY LOCAL EXPERIENCE?<br />I am an avid traveller, who started travelling at the age of 12 years old. As such, it is a joy for me to host travellers in my cosy home and share our travel tales.<br />If you are looking for a unique, classic “airbnb” home stay accommodation, off the beaten track but yet super convenient location, you can stop here!!<br /><br />I would love to hear a little bit about yourself and connect with you.<br /><br />As a travelled Singaporean, I can share the ins and outs of local scene so that YOU can bring home this unique experience home.<br /><br />Someone who share a meal together or just relax and chat over a glass of wine. There is a cleaner who comes around weekly to ensure the house is always clean and tidy. The cleaning charges will be covered in the rent.<br /><br />Join me at ARUAN Park in A Rustic Unique Adventurous Nostalgic home.<br />A cosy spacious room with an attached patio. Facing a nice park in a",1521514,Betty,2011-12-20,Singapore,"Hello !
I am Elizabeth from Singapore.

Looking forward to hosting you in our lovely little sunny island. ",within a few hours,1.0,1.0,f,https://a0.muscache.com/im/users/1521514/profile_pic/1324398791/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1521514/profile_pic/1324398791/original.jpg?aki_policy=profile_x_medium,Central Area,7,8,"['email', 'phone']",t,t,"Singapore, Singapore",Newton,Central Region,1.31144,103.83784,Private room,Private room,2,1.0,1 bath,1.0,1.0,"[""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Hair dryer"", ""Cooking basics"", ""Lock on bedroom door"", ""Wifi"", ""Free street parking"", ""Air conditioning"", ""Iron"", ""Washer"", ""Hangers"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""TV"", ""Hot water"", ""Microwave"", ""Bed linens"", ""Stove"", ""Smoke alarm"", ""Essentials"", ""Kitchen"", ""Shampoo""]",101.0,92,180,92.0,92.0,180.0,180.0,92.0,180.0,t,30,60,90,365,81,0,0,95,0,0,0.0,2013-10-03,2020-01-04,4.43,4.45,4.41,4.71,4.76,4.64,4.55,Unknown,f,7,1,6,0,0.55,0,0,0,0,0,0,0
