id,host_id,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,review_scores_rating_missing,review_scores_accuracy_missing,review_scores_cleanliness_missing,review_scores_checkin_missing,review_scores_communication_missing,review_scores_location_missing,review_scores_value_missing,is_new_listing,amenities_count,has_air_conditioning,has_pool,has_gym,has_wifi,has_kitchen,has_washer,distance_to_center_km,host_years,name_length,description_length,dist_to_mrt_km,dist_to_mall_km,host_response_score,room_type_Hotel room,room_type_Private room,room_type_Shared room,neighbourhood_group_cleansed_East Region,neighbourhood_group_cleansed_North Region,neighbourhood_group_cleansed_North-East Region,neighbourhood_group_cleansed_West Region,property_type_Campsite,property_type_Entire condo,property_type_Entire guest suite,property_type_Entire guesthouse,property_type_Entire home,property_type_Entire loft,property_type_Entire place,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Entire townhouse,property_type_Entire villa,property_type_Private room,property_type_Private room in barn,property_type_Private room in bed and breakfast,property_type_Private room in bungalow,property_type_Private room in casa particular,property_type_Private room in castle,property_type_Private room in condo,property_type_Private room in earthen home,property_type_Private room in guest suite,property_type_Private room in guesthouse,property_type_Private room in home,property_type_Private room in hostel,property_type_Private room in loft,property_type_Private room in rental unit,property_type_Private room in serviced apartment,property_type_Private room in townhouse,property_type_Private room in train,property_type_Private room in vacation home,property_type_Private room in villa,property_type_Room in aparthotel,property_type_Room in boutique hotel,property_type_Room in hostel,property_type_Room in hotel,property_type_Room in serviced apartment,property_type_Shared room,property_type_Shared room in bed and breakfast,property_type_Shared room in boutique hotel,property_type_Shared room in bungalow,property_type_Shared room in cave,property_type_Shared room in dome,property_type_Shared room in guesthouse,property_type_Shared room in home,property_type_Shared room in hostel,property_type_Shared room in hotel,property_type_Shared room in rental unit,property_type_Tiny home
71609,367042,1.0,1.0,0.0,5,10,1,1,1.34537,103.95887,2,1.0,2.0,1.0,95.0,92,365,92.0,92.0,1125.0,1125.0,92.0,1125.0,1.0,30,60,90,90,19,0,0,90,0,0,0.0,4.44,4.37,4.0,4.63,4.78,4.26,4.32,0,5,0,5,0,0.11,0,0,0,0,0,0,0,0,32,1,0,0,1,1,1,12.906545110336356,14.673972602739726,35,36,0.49664839933955457,1.7649580352622631,3.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71896,367042,1.0,1.0,0.0,5,10,1,1,1.34754,103.95958,1,1.0,1.0,1.0,104.0,92,365,92.0,92.0,1125.0,1125.0,92.0,1125.0,1.0,30,60,90,90,24,0,0,90,0,0,0.0,4.16,4.22,4.09,4.43,4.43,4.17,4.04,0,5,0,5,0,0.14,0,0,0,0,0,0,0,0,37,0,0,0,1,1,1,13.103103721454072,14.673972602739726,31,7,0.6784101931828721,1.7447420554649469,3.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71903,367042,1.0,1.0,0.0,5,10,1,1,1.34531,103.961,2,1.0,1.0,2.0,76.0,92,365,92.0,92.0,1125.0,1125.0,92.0,1125.0,1.0,30,60,90,90,46,0,0,90,0,0,0.0,4.41,4.39,4.52,4.63,4.64,4.5,4.36,0,5,0,5,0,0.26,0,0,0,0,0,0,0,0,25,0,0,0,1,1,1,13.103860508919949,14.673972602739726,26,33,0.40045485733913605,1.9818727086619021,3.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
275343,1439258,1.0,0.99,0.0,50,88,1,1,1.29015,103.80814,1,2.0,1.0,1.0,95.0,180,999,180.0,180.0,1125.0,1125.0,180.0,1125.0,1.0,0,0,0,0,20,0,0,0,0,0,0.0,4.4,4.16,4.26,4.47,4.42,4.53,4.63,1,49,0,49,0,0.13,0,0,0,0,0,0,0,0,28,1,0,0,1,1,1,5.890941979815434,13.854794520547944,48,525,0.540419445026402,3.069085948148898,4.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
275344,1439258,1.0,0.99,0.0,50,88,1,1,1.28836,103.81144,1,2.5,1.0,1.0,95.0,180,999,180.0,180.0,1125.0,1125.0,180.0,1125.0,1.0,0,0,0,0,16,0,0,0,0,0,0.0,4.27,4.44,4.06,4.5,4.5,4.63,4.13,1,49,0,49,0,0.1,0,0,0,0,0,0,0,0,30,1,0,0,1,1,1,5.503786291339955,13.854794520547944,37,35,0.6060941802888214,2.8734871815914693,4.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
294281,1521514,1.0,1.0,0.0,7,8,1,1,1.31142,103.83924,2,1.0,2.0,1.0,85.0,92,1125,92.0,92.0,1125.0,1125.0,92.0,1125.0,1.0,30,60,90,365,131,0,0,95,0,0,0.0,4.43,4.33,4.16,4.5,4.66,4.52,4.39,0,7,1,6,0,0.79,0,0,0,0,0,0,0,0,23,1,0,0,1,1,1,3.9241190469863323,13.783561643835617,30,351,0.1716613282190072,0.8844352664798423,3.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
324945,1439258,1.0,0.99,0.0,50,88,1,1,1.28828,103.8102,1,2.0,1.0,1.0,95.0,180,999,180.0,180.0,1125.0,1125.0,180.0,1125.0,1.0,0,0,0,0,17,0,0,0,0,0,0.0,3.5,3.47,3.94,4.53,4.06,3.82,3.76,0,49,0,49,0,0.11,0,0,0,0,0,0,0,0,21,1,0,0,1,1,1,5.640093627468786,13.854794520547944,49,547,0.7425742462748607,2.9874396231051104,4.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
330095,1439258,1.0,0.99,0.0,50,88,1,1,1.28636,103.81138,1,2.0,1.0,1.0,95.0,180,365,180.0,180.0,1125.0,1125.0,180.0,1125.0,1.0,0,0,0,0,5,0,0,0,0,0,0.0,3.8,3.8,4.0,4.2,4.8,3.8,4.0,1,49,0,49,0,0.04,0,0,0,0,0,0,0,0,30,1,0,0,1,1,1,5.492625237654098,13.854794520547944,49,539,0.6983897790167861,2.7378234332474918,4.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
344803,367042,1.0,1.0,0.0,5,10,1,1,1.34917,103.9609,1,1.5,1.0,1.0,41.0,92,365,92.0,92.0,1125.0,1125.0,92.0,1125.0,1.0,0,0,11,286,60,0,0,16,0,0,0.0,4.6,4.59,4.46,4.76,4.58,4.66,4.44,1,5,0,5,0,0.36,0,0,0,0,0,0,0,0,45,0,0,0,1,1,1,13.325047073086985,14.673972602739726,33,111,0.8286533440165542,1.8309527492763327,3.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
369141,1521514,1.0,1.0,0.0,7,8,1,1,1.31144,103.83784,2,1.0,1.0,1.0,101.0,92,180,92.0,92.0,180.0,180.0,92.0,180.0,1.0,30,60,90,365,81,0,0,95,0,0,0.0,4.43,4.45,4.41,4.71,4.76,4.64,4.55,0,7,1,6,0,0.55,0,0,0,0,0,0,0,0,23,1,0,0,1,1,1,4.02235759223222,13.783561643835617,31,103,0.09904472825201166,0.8341932298414259,3.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
